Model,RMSE,MAE,R2,Top1,Top5,Source
Stacked Ensemble,31.523249,4.479322,0.679146,0.5,0.7,report
CatBoost,31.87395,4.48718,0.671967,0.5,0.7,report
Simple Average (5 models),32.06988532271579,4.535695101924769,0.6679217980718735,0.5,0.7,this script
Adaptive Weighted Ensemble,32.20553084091738,4.682586299819049,0.6651066846254582,0.5,0.7,this script
LightGBM,32.256245,4.458004,0.664051,0.5,0.7,report
Gradient Boosting,32.887343,4.756298,0.650777,0.5,0.7,report
Random Forest,34.796803,5.502821,0.609047,0.5,0.8,report
XGBoost,36.136097,5.007829,0.578373,0.5,0.7,report
Ridge,48.705371,15.481999,0.234052,0.5,0.7,report
Linear Regression,49.048371,16.306498,0.223226,0.5,0.7,report
Dummy Mean,55.673798,11.1139,-0.0008,0.0,0.0,report
